,href,job_title,company_name,job_loc,details,category,compensation,applyBy,start,end,skills
14,http://letsintern.com/internship/Accountant-internships/GCCRecruitments/Accountan/127622,Accountan,GCCRecruitments,Kochi/Cochin,"About Internship:        We are looking for a driven Accounting Intern with a basic understanding of GAAP and financial principles and terms who is ready for an immersive, real-world experience. Under the supervision of our staff, the Accounting Intern can expect to participate in the preparation of journal entries and financial reports, analyze actual financial data, learn more about bookkeeping software, and assist with other accounting activities. You should be a motivated team player who can maintain efficiency and accuracy when multitasking.        Roles and Responsibilities:        We are looking for a driven Accounting Intern with a basic understanding of GAAP and financial principles and terms who is ready for an immersive, real-world experience. Under the supervision of our staff, the Accounting Intern can expect to participate in the preparation of journal entries and financial reports, analyze actual financial data, learn more about bookkeeping software, and assist with other accounting activities. You should be a motivated team player who can maintain efficiency and accuracy when multitasking.        Perks:        Internship Certificate",Accountant,Recurring,Apply by 5th Jun `21,14th Jun 2021,14th Nov 2021,Skills Required         Accounting                Analytical Skills
15,http://letsintern.com/internship/Writer-internships/Scalar-News/Writing-Internship/127158,Writing Internship,Scalar News,Bangalore,"About Internship:        We are seeking out a writer for Scalar News. Scalar News is a student-run organization. We provide short concise news articles consisting of less than 100 words everyday via WhatsApp, Instagram and Twitter.Our main goal is to provide news in such a way that anyone of any age can read it and be able to understand it.        Roles and Responsibilities:        1. Write High Quality News Articles Daily2. Promote Scalar News3. Be a part of the Instagram, Twitter, WhatsApp Social Media Team        Perks:        1. Internship Certificate2. Personal Letter of Recommendation",Writer,Unpaid,Apply by 14th May `21,6th May 2021,31st Jul 2021,Skills Required         English comprehension                Writing Skills
16,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Machine-Learning-Internship/110793,Machine Learning Internship,TechCiti Technologies Pvt.Ltd.,Bangalore,About Internship:        Machine Learning with Python Internship: Eligibility: Students who are pursuing:- BE/BTech- BCA- MTech - MCAObjectives of internship: -Working on the project assigned by the company-Necessary training will be provided.Internship Duration: 1 Month –6 Months.        Roles and Responsibilities:        - Working on the project assigned by the company- Working on the day to day tasks assigned by the company        Perks:        1. Internship Experience Certificate2. Flexible working hours,Software Developer,Unpaid,Apply by 11th Oct `19,10th Jul 2019,10th Jan 2020,Skills Required         Python                Machine Learning
17,http://letsintern.com/internship/Software-Developer-internships/TechCiti-Technologies-Pvt-Ltd-/Java-Internship/115409,Java Internship,TechCiti Technologies Pvt.Ltd.,Bangalore,About Internship:        Java Internship:Objectives of Internship:-Working on the project assigned by the company-Required training will be givenEligibility: Students who are pursuing:- BE/BTech- BCA- MTech- MCA        Roles and Responsibilities:        1. Working on the project2. Working on both Front-end and Back-end of the project3. Performing day to day tasks        Perks:        1. Internship Certificate2. Flexible work hours,Software Developer,Unpaid,Apply by 17th Mar `20,16th Dec 2019,16th Jun 2020,Skills Required         HTML
18,http://letsintern.com/internship/Content-Manager-internships/WhizzMark/Music-Internship/127988,Music Internship,WhizzMark,Mumbai,"About Internship:        This internship is a perfect opportunity for people to explore the Indian music scene, and learn more about it. The skills and knowledge acquired via the internship can help them progress further in the industry.        Roles and Responsibilities:        Looking for an intern for a long-term project with a deep interest in music. 1. We're looking for a young, energetic Music enthusiast to join us.2. Formulate Ideas for Content - Posts, Stories, Blogs. 3. Researching and being updated with the Indian music industry.4. Updating a data bank with all the information researched.        Perks:        1. Certificate2. Letter of recommendation3. Flexible work hours",Content Manager,Recurring,Apply by 10th Jun `21,4th Jun 2021,4th Sep 2021,Skills Required         Writing Skills
19,http://letsintern.com/internship/Social-Media-Specialist-internships/Binge-it-right/Social-media-marketing-intern/120744,Social media marketing intern,Binge it right,Anywhere in India,"About Internship:        HeyWe are looking for SEO Marketing Interns for our upcoming app - Binge It Right. 1. USE LATEST TOOLS OF DIGITAL: The person should know the basic terms of SEO and use latest tools like SEM Rush (more informative than Google analytics) to help increase the organic reach of the app pilot and suggest content ideas for Facebook and Instagram content2. NETWORK WITH THE BEST :App team has people from Walmart labs, KPMG, ByteDance, Aditya Birla Capital, Synergy Consulting, Snapchat etc. - So be assured to get some good contacts and a LOR from one of them.3. CREATE GO TO MARKET: Spread word around for the app. Create presence of social platforms such as FB groups, Websites etc.Work load will be quite less - 1-2 hours a day        Roles and Responsibilities:        1. USE LATEST TOOLS OF DIGITAL: The person should know the basic terms of SEO and use latest tools like SEM Rush (more informative than Google analytics) to help increase the organic reach of the app pilot and suggest content ideas for Facebook and Instagram content2. NETWORK WITH THE BEST :App team has people from Walmart labs, KPMG, ByteDance, Aditya Birla Capital, Synergy Consulting, Snapchat etc. - So be assured to get some good contacts and a LOR from one of them.3. CREATE GO TO MARKET: Spread word around for the app. Create presence of social platforms such as FB groups        Perks:        1. letter of recommendation2.Certificate",Social Media Specialist,One-Time,Apply by 21st Aug `20,4th Aug 2020,5th Sep 2020,Skills Required         Digital Marketing
20,http://letsintern.com/internship/Advertising-and-Promotions-Manager-internships/Pixel-Hues/Digital-Marketing/127674,Digital Marketing,Pixel Hues,"Hyderabad,              Ahmedabad,              Bangalore,              Bhopal,              Indore,              Mumbai,              Chennai,              Kolkata,              Hooghly,              Delhi",About Internship:        We are seeking digital marketers who will increase the reach and engagement of the Instagram Page of Pixel Hues.        Roles and Responsibilities:        1. Increasing followers of Instagram Page2. Increasing engagement on posts3. Getting customers for digital portraits        Perks:        1. Certificates,Advertising and Promotions Manager,Unpaid,Apply by 28th May `21,24th May 2021,30th May 2021,Skills Required         Marketing                Digital Marketing
21,http://letsintern.com/internship/Digital-Marketing-Manager-internships/The-customisation-point/Affiliate-internship-program/122388,Affiliate internship program,The customisation point,New Delhi,About Internship:        MirzapurDigital Marketing ManagerPocket MoneyRecurringApply by 22nd Dec `20Timeline18th Sep2020 201Days 7th Apr2021INTERNSHIP DETAILSAbout Internship:You need to be educated onlyNot any higher studies certification neededEven the housewives and school/college students both boys and girls can do this from everywhere either from their hostel or home only with the help of their mobile phones and usual knowledge about internetOur total work is based on the social network where we give proper training to our affiliate team on daily basisResponsibilities of the affiliates will be of managing their reffered affiliates orFrom the team of 1000 affiliates we need100 leader affiliates who'll look over the emtire team and also build themSo join fast its an opportunity for the youngsters to earn through social mediaWith the help of their skills on social media marketing and digital marketingWithout any certification as they'll be guided by our team on regular basisSo yaaa it's an opportunity which can be called as learn and earn with funRoles And Responsibilities:1.To lead the team2.to manage their referrals3.train the new affiliates4.to inform about their daily activity5.to complete daily tasks6.follow upPerks:1. you can directly whatsapp us to contact 95698513952.for more details dm us on insta@divyanshukeshari22        Roles and Responsibilities:        1.leads creation2.marketing3.promotion4.making their team and their management   MirzapurDigital Marketing ManagerPocket MoneyRecurringApply by 22nd Dec `20Timeline18th Sep2020 201Days 7th Apr2021INTERNSHIP DETAILSAbout Internship:You need to be educated onlyNot any higher studies certification neededEven the housewives and school/college students both boys and girls can do this from everywhere either from their hostel or home only with the help of their mobile phones and usual knowledge about internetOur total work is based on the social network where we give proper training to our affiliate team on daily basisResponsibilities of the affiliates will be of managing their reffered affiliates orFrom the team of 1000 affiliates we need100 leader affiliates who'll look over the emtire team and also build themSo join fast its an opportunity for the youngsters to earn through social mediaWith the help of their skills on social media marketing and digital marketingWithout any certification as they'll be guided by our team on regular basisSo yaaa it's an opportunity which can be called as learn and earn with funRoles And Responsibilities:1.To lead the team2.to manage their referrals3.train the new affiliates4.to inform about their daily activity5.to complete daily tasks6.follow upPerks:1. you can directly whatsapp us to contact 95698513952.for more details dm us on insta@divyanshukeshari22        Perks:        1.daily incentives based on work2.day to day extra activities,Digital Marketing Manager,Recurring,Apply by 1st Nov `20,1st Oct 2020,1st Dec 2020,Skills Required         Digital Marketing
22,http://letsintern.com/internship/Sales-Consultant-internships/Richie-Enterpreneul-Ventures-pvt-Ltd/Sales-Associates/128036,Sales Associates,Richie Enterpreneul Ventures pvt Ltd,"Itanagar,              Ahmedabad,              Bangalore,              Mumbai,              Nagpur,              Pune","About Internship:        We are hiring for Summer Internship Program 2021 We, at Riche Entrepreneurial Venture Insurance Marketing Private Limited, believe in offering opportunities leading towards a promising career development to those who seek us as their choice of employer and it is our pleasure to reach out to your esteemed institute for bestowing a career opportunity through Summer Internship Program.Designation: - Sales Associate -SA / Priority Partner (Trainee)Program Highlights- Marketing & Finance (Both)        Roles and Responsibilities:        1. Building reputation with customers.2. working on deals.3. closing deals.4. Pitching products and services.5.Educate Customers on how products and services can benefit them financially professionally6.Selling products and services to those clients.        Perks:        1. Internship Certificate2.Flexible Hours3.pre-Placement Offer, for students who will complete projects with proactive behavior and progressive patterns",Sales Consultant,Recurring,Apply by 25th Jun `21,4th Jun 2021,30th Aug 2021,Skills Required         Spoken english comprehension                Effective communication                Managerial Skills                Marketing                Analytical Skills                Sales Situation Handling - Basic                English comprehension                Agreeableness                Salesforce
23,http://letsintern.com/internship/Data-Analyst-internships/Algorithms-India/Data-Science-Research-Associate/127345,Data Science Research Associate,Algorithms India,Guwahati,"About Internship:        We are pleased to offer you the position of a Research Intern with Algorithms India. Please find the following conformations of the specifics of your internship. Position Title: Research Associate  Start Date: 1st week of Every Month End Date: flexible Number of working days per week: 5 days Internship Fee Applicable  Reporting supervisor: You will be reporting to (Project head) via phone or by email. If you have any queries regarding the specifics of your internship please contact us via email/call (algorithmsindiamail@gmail.com). SincerelyAlgorithms India        Roles and Responsibilities:        Internship Responsibilities: Your day to day responsibilities will include the followingDeveloping DB for research projects Create presentations for our prospective clientsWorking with various databases to find out deeper insights which can be further used for research and analysisData science projects infused with GIS datasets Research and Analysis in various government and corporate projects.Any other dependencies or needs can be addressedYou will be working Online (work from home during the pandemic) with daily reports and weekly sessions with seniors and management heads, so as to give you the best professional and corporate learning and work experience.",Data Analyst,Recurring,Apply by 14th Jun `21,13th May 2021,14th Jul 2021,Skills Required         Analytical Skills
24,http://letsintern.com/internship/Real-Estate-Professional-internships/Brigade/Brigade-Meridian-Bengaluru-Location/120639,Brigade Meridian Bengaluru Location,Brigade,Bangalore,"About Internship:        Brigade Meridian is another great venture from Brigade Group that is offering new and best units for sale at Bengaluru region. The project offers a wide range of amenities that include a huge clubhouse, gymnasium, swimming pool for adults and kids, multi-purpose hall, health club, senior citizen deck and much more at https://www.brigademeridian.in        Roles and Responsibilities:        1. Real Estate Marketing2. Brigade Group Apartments3. Apartments in Bangalore www.brigademeridian.in4. Prelaunch Apartments in Bangalore        Perks:        1. https://www.brigademeridian.in/price.html2. https://www.brigademeridian.in/specifications.html",Real Estate Professional,Unpaid,Apply by 1st Nov `20,28th Jul 2020,10th Feb 2021,Skills Required         Analytical Skills
25,http://letsintern.com/internship/Software-Developer-Python-internships/CodeSpeedy-Technology-Private-Limited/Machine-Learning-with-Python-Internship/117936,Machine Learning with Python Internship,CodeSpeedy Technology Private Limited,"Hyderabad,              Guwahati,              New Delhi,              Ahmedabad,              Bangalore,              Mumbai,              Pune,              Chennai,              Kolkata,              Delhi",About Internship:        This internship is only for those who are really interested in the field of machine learning and data science. This internship will be done with Python programming. The students who are good at Python programming can apply.You will be able to increase your machine learning skills with this internship as we will lead you and guide you to do the latest projects of machine learning. Hope this will help you and our organization to explore new things together.        Roles and Responsibilities:        1. Make some research and learn new things.2. Solve machine learning problems with Python.3. Implement various algorithms to get an accurate result.4. Solve machine learning tasks and projects.        Perks:        1. Offer letter at the time of joining.2. Internship certificate at the end of this internship.3. Letter of recommendation based on the performance.4. Flexible timing.5. Leave during exams and medical issues.6. Guidance during the internship period.,Software Developer : Python,Unpaid,Apply by 30th Jun `20,30th Jun 2020,14th Aug 2020,Skills Required         Python                Data Science                Machine Learning
26,http://letsintern.com/internship/Marketing-Professional-internships/Referral-Agent-Upstox/Marketing/127899,Marketing,Referral Agent - Upstox,Anywhere in India,"About Internship:        This internship will guide students about online demat account opening process. Students will get hands-on experience of social media marketing and tele-marketing. Sales process will be well explained. Confidence-building and developing conversation skills are the main priorities for the employer.        Roles and Responsibilities:        1. Developing and managing digital marketing campaigns2. Research on targeting tactics & brand guidelines.3. Track, analyze and optimize digital marketing efforts        Perks:        1. Performance Based Stipend2. Certificate",Marketing Professional,One-Time,Apply by 3rd Jun `21,2nd Jun 2021,2nd Aug 2021,Skills Required         Sales Situation Handling - Basic                Digital Marketing
